date_time,open_price,high_price,low_price,close_price,quantity
2023/08/16 22:38, 16405.00, 16406.00, 16401.00, 16401.00, 298
2023/08/16 22:39, 16402.00, 16408.00, 16402.00, 16407.00, 170
2023/08/16 22:40, 16408.00, 16410.00, 16406.00, 16408.00, 126
2023/08/16 22:41, 16408.00, 16410.00, 16406.00, 16409.00, 148
2023/08/16 22:42, 16409.00, 16410.00, 16407.00, 16408.00, 46
2023/08/16 22:43, 16408.00, 16412.00, 16408.00, 16412.00, 99
2023/08/16 22:44, 16412.00, 16418.00, 16411.00, 16418.00, 343
2023/08/16 22:45, 16417.00, 16421.00, 16417.00, 16419.00, 329
2023/08/16 22:46, 16420.00, 16420.00, 16412.00, 16414.00, 280
2023/08/16 22:47, 16414.00, 16415.00, 16412.00, 16412.00, 99
2023/08/16 22:48, 16411.00, 16413.00, 16409.00, 16409.00, 151
2023/08/16 22:49, 16409.00, 16409.00, 16403.00, 16405.00, 289
2023/08/16 22:50, 16405.00, 16406.00, 16403.00, 16403.00, 150
2023/08/16 22:51, 16404.00, 16406.00, 16403.00, 16405.00, 151
2023/08/16 22:52, 16406.00, 16412.00, 16406.00, 16411.00, 120
2023/08/16 22:53, 16412.00, 16414.00, 16410.00, 16412.00, 174
2023/08/16 22:54, 16410.00, 16413.00, 16409.00, 16413.00, 67
2023/08/16 22:55, 16412.00, 16415.00, 16411.00, 16414.00, 75
2023/08/16 22:56, 16414.00, 16415.00, 16410.00, 16412.00, 101
2023/08/16 22:57, 16411.00, 16412.00, 16410.00, 16411.00, 67
2023/08/16 22:58, 16412.00, 16412.00, 16409.00, 16410.00, 75
2023/08/16 22:59, 16411.00, 16414.00, 16410.00, 16413.00, 87
2023/08/16 23:00, 16414.00, 16415.00, 16413.00, 16414.00, 91
2023/08/16 23:01, 16414.00, 16416.00, 16412.00, 16415.00, 223
2023/08/16 23:02, 16416.00, 16416.00, 16413.00, 16414.00, 116
2023/08/16 23:03, 16413.00, 16417.00, 16411.00, 16416.00, 144
2023/08/16 23:04, 16416.00, 16417.00, 16415.00, 16415.00, 115
2023/08/16 23:05, 16414.00, 16419.00, 16414.00, 16419.00, 114
2023/08/16 23:06, 16419.00, 16422.00, 16418.00, 16418.00, 326
2023/08/16 23:07, 16417.00, 16417.00, 16413.00, 16416.00, 131
2023/08/16 23:08, 16415.00, 16416.00, 16411.00, 16412.00, 126
2023/08/16 23:09, 16412.00, 16413.00, 16412.00, 16412.00, 75
2023/08/16 23:10, 16412.00, 16415.00, 16411.00, 16413.00, 99
2023/08/16 23:11, 16413.00, 16414.00, 16410.00, 16411.00, 93
2023/08/16 23:12, 16411.00, 16414.00, 16410.00, 16414.00, 151
2023/08/16 23:13, 16414.00, 16415.00, 16411.00, 16413.00, 26
2023/08/16 23:14, 16412.00, 16412.00, 16407.00, 16408.00, 170
2023/08/16 23:15, 16408.00, 16409.00, 16407.00, 16408.00, 81
2023/08/16 23:16, 16408.00, 16411.00, 16407.00, 16411.00, 82
2023/08/16 23:17, 16411.00, 16411.00, 16407.00, 16407.00, 54
2023/08/16 23:18, 16407.00, 16408.00, 16403.00, 16403.00, 281
2023/08/16 23:19, 16403.00, 16405.00, 16401.00, 16404.00, 175
2023/08/16 23:20, 16404.00, 16408.00, 16404.00, 16408.00, 84
2023/08/16 23:21, 16408.00, 16409.00, 16406.00, 16408.00, 58
2023/08/16 23:22, 16408.00, 16408.00, 16404.00, 16406.00, 115
2023/08/16 23:23, 16406.00, 16406.00, 16404.00, 16406.00, 59
2023/08/16 23:24, 16406.00, 16409.00, 16405.00, 16409.00, 75
2023/08/16 23:25, 16408.00, 16408.00, 16407.00, 16407.00, 53
